"POINT (0.114989 51.520854)"
"POINT (0.115601 51.520102)"
"POINT (0.106545 51.521627)"
"POINT (0.106461 51.521275)"
"POINT (0.105826 51.521784)"
"POINT (0.114595 51.519657)"
"POINT (0.106623 51.523045)"
"POINT (0.105937 51.521894)"
"POINT (0.106883 51.521369)"
"POINT (0.107368 51.522979)"
"POINT (0.106232 51.522505)"
"POINT (0.106045 51.52268)"
"POINT (0.106037 51.522246)"
"POINT (0.106495 51.523038)"
"POINT (0.107223 51.522227)"
"POINT (0.105827 51.522928)"
"POINT (0.105493 51.523211)"
"POINT (0.106527 51.523032)"
"POINT (0.105745 51.522901)"
"POINT (0.10594 51.52195)"
"POINT (0.105921 51.522021)"
"POINT (0.106219 51.521344)"
"POINT (0.107067 51.521645)"
"POINT (0.105895 51.523047)"
"POINT (0.10646 51.521638)"
"POINT (0.106084 51.521527)"
"POINT (0.114483 51.520011)"
"POINT (0.106225 51.522607)"
"POINT (0.107317 51.521334)"
"POINT (0.106248 51.522244)"
"POINT (0.107146 51.521626)"
"POINT (0.106295 51.521588)"
"POINT (0.106331 51.522545)"
"POINT (0.10629 51.522668)"
"POINT (0.105703 51.52197)"
"POINT (0.10607 51.522527)"
"POINT (0.107316 51.521397)"
"POINT (0.105689 51.52125)"
"POINT (0.106552 51.522024)"
"POINT (0.106561 51.521393)"
"POINT (0.10608 51.521938)"
"POINT (0.105459 51.522797)"
"POINT (0.114384 51.520092)"
"POINT (0.106008 51.521508)"
"POINT (0.107228 51.522565)"
"POINT (0.105944 51.522608)"
"POINT (0.10564 51.521461)"
"POINT (0.106188 51.521275)"
"POINT (0.107364 51.521401)"
"POINT (0.106076 51.522376)"
"POINT (0.107018 51.521223)"
"POINT (0.106238 51.522422)"
"POINT (0.106666 51.522836)"
"POINT (0.10649 51.521753)"
"POINT (0.114071 51.520866)"
"POINT (0.126295 51.521155)"
"POINT (0.127364 51.521029)"
"POINT (0.126833 51.520793)"
"POINT (0.128214 51.520013)"
"POINT (0.126547 51.52031)"
"POINT (0.127202 51.519909)"
"POINT (0.126861 51.520175)"
"POINT (0.127259 51.520774)"
"POINT (0.126483 51.519973)"
"POINT (0.126645 51.519606)"
"POINT (0.127751 51.521555)"
"POINT (0.126531 51.521473)"
"POINT (0.127332 51.519561)"
"POINT (0.127448 51.520173)"
"POINT (0.127029 51.52037)"
"POINT (0.126266 51.519948)"
"POINT (0.127415 51.520666)"
"POINT (0.127891 51.521413)"
"POINT (0.119576 51.509364)"
"POINT (0.126968 51.520266)"
"POINT (0.127135 51.520774)"
"POINT (0.126463 51.521067)"
"POINT (0.122923 51.50873)"
"POINT (0.126788 51.506994)"
"POINT (0.122713 51.509114)"
"POINT (0.122435 51.508441)"
"POINT (0.122493 51.509839)"
"POINT (0.123386 51.50933)"
"POINT (0.11405 51.520095)"
"POINT (0.11391 51.520514)"
"POINT (0.115292 51.519118)"
"POINT (0.112636 51.526104)"
"POINT (0.107366 51.522857)"
"POINT (0.106629 51.522694)"
"POINT (0.114499 51.520869)"
"POINT (0.114793 51.519448)"
"POINT (0.106787 51.521329)"
"POINT (0.106902 51.523077)"
"POINT (0.106412 51.521618)"
"POINT (0.106136 51.522029)"
"POINT (0.107007 51.521285)"
"POINT (0.107373 51.521517)"
"POINT (0.107015 51.523156)"
"POINT (0.105554 51.523085)"
"POINT (0.106739 51.521499)"
"POINT (0.106857 51.522824)"
"POINT (0.106057 51.521292)"
"POINT (0.106154 51.5232)"
"POINT (0.107107 51.523081)"
"POINT (0.105444 51.522219)"
"POINT (0.107228 51.522683)"
"POINT (0.106194 51.52197)"
"POINT (0.105464 51.521936)"
"POINT (0.105928 51.522718)"
