"POINT (0.136986 51.501525)"
"POINT (0.136524 51.500264)"
"POINT (0.128879 51.501734)"
"POINT (0.128501 51.503242)"
"POINT (0.127724 51.502185)"
"POINT (0.128428 51.503174)"
"POINT (0.127863 51.502779)"
"POINT (0.128192 51.502259)"
"POINT (0.128397 51.50345)"
"POINT (0.12884 51.502925)"
"POINT (0.12925 51.502872)"
"POINT (0.127811 51.50274)"
"POINT (0.128362 51.501949)"
"POINT (0.128956 51.503218)"
"POINT (0.128328 51.501644)"
"POINT (0.127601 51.503117)"
"POINT (0.129137 51.501669)"
"POINT (0.127619 51.501623)"
"POINT (0.128246 51.503072)"
"POINT (0.129163 51.502489)"
"POINT (0.128392 51.502975)"
"POINT(-73.940210 40.843697)"
"POINT(-73.971270 40.795490)"
"POINT(-73.964052 40.802697)"
"POINT(-73.948790 40.782692)"
"POINT(-74.004957 40.781937)"
"POINT(-73.955733 40.788168)"
"POINT(-73.940045 40.797770)"
"POINT(-73.976893 40.786012)"
"POINT(-73.972210 40.796560)"
"POINT(-73.964282 40.807458)"
