1286150400000,[15.000000,24.000000,22.708796]
1286150760000,[24.000000,26.000000,24.823224]
1286151120000,[17.000000,21.000000,14.569847]
1286151480000,[15.000000,23.000000,15.211728]
1286151840000,[15.000000,19.000000,16.731353]
1286152200000,[18.000000,24.000000,21.369586]
1286152560000,[30.000000,21.000000,28.622670]
1286152920000,[15.000000,25.000000,11.860185]
1286153280000,[13.000000,24.000000,23.736617]
1286153640000,[18.000000,22.000000,23.391489]
1286154000000,[17.000000,23.000000,26.067736]
1286154360000,[21.000000,24.000000,19.225305]
1286154720000,[24.000000,24.000000,15.486702]
1286155080000,[15.000000,32.000000,20.823484]
1286155440000,[20.000000,21.000000,15.277462]
1286155800000,[23.000000,25.000000,14.207633]
1286156160000,[23.000000,28.000000,21.563651]
1286156520000,[21.000000,26.000000,23.008877]
1286156880000,[18.000000,18.000000,16.850849]
1286157240000,[18.000000,23.000000,23.684254]
1286157600000,[21.000000,19.000000,23.411253]
1286157960000,[23.000000,22.000000,21.876301]
1286158320000,[19.000000,21.000000,16.737316]
1286158680000,[23.000000,20.000000,17.392387]
1286159040000,[22.000000,23.000000,20.790911]
1286159400000,[21.000000,23.000000,19.780358]
1286159760000,[24.000000,26.000000,28.274605]
1286160120000,[26.000000,22.000000,27.977063]
1286160480000,[24.000000,27.000000,16.651574]
1286160840000,[23.000000,26.000000,24.006316]
1286161200000,[22.000000,25.000000,21.140748]
1286161560000,[34.000000,27.000000,23.202854]
1286161920000,[23.000000,32.000000,22.413737]
1286162280000,[25.000000,28.000000,27.938871]
1286162640000,[27.000000,24.000000,20.220094]
1286163000000,[27.000000,29.000000,23.329663]
1286163360000,[26.000000,30.000000,29.667498]
1286163720000,[25.000000,37.000000,27.894973]
1286164080000,[24.000000,27.000000,25.383397]
1286164440000,[29.000000,33.000000,25.652583]
1286164800000,[32.000000,31.000000,34.284683]
1286165160000,[30.000000,33.000000,26.620714]
1286165520000,[28.000000,28.000000,29.181971]
1286165880000,[30.000000,30.000000,30.205813]
1286166240000,[37.000000,38.000000,30.945025]
1286166600000,[34.000000,29.000000,28.452272]
1286166960000,[33.000000,37.000000,30.455907]
1286167320000,[31.000000,37.000000,27.630644]
1286167680000,[38.000000,33.000000,33.076412]
1286168040000,[32.000000,40.000000,33.140932]
1286168400000,[34.000000,35.000000,41.856345]
1286168760000,[36.000000,41.000000,34.207496]
1286169120000,[37.000000,36.000000,29.209201]
1286169480000,[33.000000,31.000000,35.342153]
1286169840000,[36.000000,30.000000,30.281823]
1286170200000,[36.000000,37.000000,29.052028]
1286170560000,[34.000000,39.000000,31.744583]
1286170920000,[35.000000,36.000000,31.768711]
1286171280000,[36.000000,45.000000,29.228670]
1286171640000,[38.000000,40.000000,32.475305]
1286172000000,[39.000000,41.000000,40.137020]
1286172360000,[36.000000,41.000000,42.007895]
1286172720000,[37.000000,36.000000,41.055479]
1286173080000,[42.000000,36.000000,34.508031]
1286173440000,[36.000000,39.000000,35.490742]
1286173800000,[37.000000,38.000000,34.002769]
1286174160000,[40.000000,41.000000,34.161633]
1286174520000,[33.000000,41.000000,45.588838]
1286174880000,[40.000000,40.000000,37.570305]
1286175240000,[35.000000,42.000000,39.197499]
1286175600000,[37.000000,38.000000,37.079893]
1286175960000,[44.000000,41.000000,35.416649]
1286176320000,[37.000000,36.000000,40.225213]
1286176680000,[40.000000,38.000000,32.346741]
1286177040000,[39.000000,43.000000,37.483051]
1286177400000,[38.000000,43.000000,46.967087]
1286177760000,[41.000000,40.000000,38.228604]
1286178120000,[36.000000,41.000000,36.989086]
1286178480000,[37.000000,35.000000,41.104650]
1286178840000,[39.000000,41.000000,35.672965]
1286179200000,[34.000000,35.000000,46.529992]
1286179560000,[43.000000,38.000000,37.584577]
1286179920000,[41.000000,37.000000,42.573755]
1286180280000,[37.000000,37.000000,40.768826]
1286180640000,[35.000000,35.000000,36.922080]
1286181000000,[38.000000,40.000000,31.316281]
1286181360000,[43.000000,42.000000,34.163799]
1286181720000,[35.000000,40.000000,40.799545]
1286182080000,[37.000000,42.000000,42.121631]
1286182440000,[34.000000,41.000000,39.555928]
