"gcpvje6",true,1200,"2018-05-01 00:20:00",51.523078,-0.106117,"40065","TAXIS","107",1525126800000
"gcpvj7j",true,1800,"2018-05-01 00:36:00",51.520823,-0.113954,"40077","TAXIS","147",1525127760000
"gcpvje6",true,1800,"2018-05-01 00:38:00",51.522379,-0.105989,"40059","TAXIS","155",1525127880000
"gcpvjk0",true,2280,"2018-05-01 00:38:00",51.526501,-0.120051,"40215","TAXIS","156",1525127880000
"gcpvje6",true,1800,"2018-05-01 00:39:00",51.52186,-0.106687,"40185","TAXIS","158",1525127940000
"gcpvj6u",true,1800,"2018-05-01 00:41:00",51.520242,-0.11415,"40056","TAXIS","164",1525128060000
"gcpvhgh",true,960,"2018-05-01 00:42:00",51.521591,-0.13649,"40080","TAXIS","169",1525128120000
"gcpvje6",true,1800,"2018-05-01 00:44:00",51.522358,-0.105979,"40206","TAXIS","179",1525128240000
"gcpvj6u",true,1800,"2018-05-01 00:50:00",51.519664,-0.11483,"40098","TAXIS","185",1525128600000
"gcpvje6",true,1800,"2018-05-01 00:50:00",51.522811,-0.106003,"40104","TAXIS","187",1525128600000
"gcpvje6",true,600,"2018-05-01 00:53:00",51.521809,-0.106136,"40221","TAXIS","191",1525128780000
"gcpvje6",true,660,"2018-05-01 00:53:00",51.523035,-0.106556,"40197","TAXIS","192",1525128780000
"gbgb9hm",true,1800,"2018-05-01 00:55:00",49.330698,-5.925757,"40170","TAXIS","197",1525128900000
"gcpvje4",true,1500,"2018-05-01 00:55:00",51.521382,-0.106252,"40149","TAXIS","199",1525128900000
"gcpvje6",true,1800,"2018-05-01 01:00:00",51.521686,-0.106585,"40212","TAXIS","211",1525129200000
"gcpvje6",true,1800,"2018-05-01 01:00:00",51.522202,-0.106903,"40155","TAXIS","212",1525129200000
"gcpvj6u",true,1800,"2018-05-01 01:02:00",51.520002,-0.114447,"40119","TAXIS","219",1525129320000
"gcpvjk0",true,4080,"2018-05-01 01:08:00",51.527211,-0.120452,"40215","TAXIS","236",1525129680000
"gcpvje6",true,3600,"2018-05-01 01:09:00",51.522155,-0.10701,"40185","TAXIS","238",1525129740000
"gcpvje6",true,1800,"2018-05-01 01:12:00",51.522437,-0.106847,"40068","TAXIS","250",1525129920000
"gcpvje6",true,1620,"2018-05-01 01:27:00",51.523168,-0.107199,"40197","TAXIS","273",1525130820000
"gcpvje4",true,1080,"2018-05-01 01:29:00",51.521557,-0.105987,"40077","TAXIS","275",1525130940000
"gcpvje6",true,3600,"2018-05-01 01:30:00",51.522453,-0.106141,"40155","TAXIS","277",1525131000000
"gcpvje6",true,1800,"2018-05-01 01:30:00",51.522549,-0.106184,"40149","TAXIS","278",1525131000000
"gcpvjub",true,1800,"2018-05-01 01:37:00",51.531069,-0.09891,"40074","TAXIS","289",1525131420000
